"Brand_Reg","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Avg_mode_power","Labelled energy consumption (kWh/year)","SubmitStatus","Product Class","Availability Status","Star2","Star Rating Index","Power supply","Brand_Reg_Upper","screensize_by_inches","Screensize category"
"KONKA","KUD50XG684AN","New Zealand","China",125.731,6754.867344,"LCD (LED)","0.37894",60.564,236,"Approved","Single product class","Available",5.5,5.848761134097636,"Internal","KONKA",49.5003937007874,"48 inch"
"KONKA","KDL40GA683AN","New Zealand","China",100.332,4261.906885,"LCD (LED)","0.25",36.91,151,"Approved","Single product class","Available",6,6.025761901698537,"Internal","KONKA",39.5007874015748,"40 inch"
"KONKA","KDL32GA683AN","New Zealand","China",80.039,2736.719568,"LCD (LED)","0.43",29.55,125,"Approved","Single product class","Available",5,5.226823770764761,"Internal","KONKA",31.511417322834646,"32 inch"
"Kogan","KAQL55XQ98GSTA","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.3",92.8,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","KOGAN",54.63897637795275,"50 inch"
"Kogan","KAQL55XQ98GSTB","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.3",92.8,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","KOGAN",54.63897637795275,"50 inch"
"Kogan","KAQL55XQ98GSTC","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.3",92.8,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","KOGAN",54.63897637795275,"50 inch"
"Kogan","KAQL55XQ98GSTD","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.3",92.8,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","KOGAN",54.63897637795275,"50 inch"
"Kogan","KAQL55XQ98GSTE","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.3",92.8,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","KOGAN",54.63897637795275,"50 inch"
"Kogan","KAQL55XQ98GST*","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.3",92.8,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","KOGAN",54.63897637795275,"50 inch"
"Kogan","75T96 series","Australia,Fiji,New Zealand","China,Vietnam",189.34,15318.517823999999,"LCD (LED)","-",180,680,"Approved","Single product class","Available",4.5,4.533886643683078,"Internal","KOGAN",74.54330708661418,"70+ inch"
"AIWA","AWS400W","Australia","China",100.332,4261.906885,"LCD (LED)","0.35",48.76,198,"Approved","Single product class","Available",4.5,4.811354439400725,"Internal","AIWA",39.5007874015748,"40 inch"
"HISENSE","32A4NAU","Australia,New Zealand","China",80.04,2736.7587940000003,"LCD (LED)","0.31",22.8,93,"Approved","Single product class","Available",6,6.552094678514144,"Internal","HISENSE",31.511811023622048,"32 inch"
"HISENSE","40A4NAU","Australia,New Zealand","China",100.332,4261.906885,"LCD (LED)","0.28",29.07,121,"Approved","Single product class","Available",7,7.018348467224255,"Internal","HISENSE",39.5007874015748,"40 inch"
"HISENSE","32A4NNZ","Australia,New Zealand","China",80.04,2736.7587940000003,"LCD (LED)","0.31",22.8,93,"Approved","Single product class","Available",6,6.552094678514144,"Internal","HISENSE",31.511811023622048,"32 inch"
"HISENSE","32A4N","Australia,New Zealand","China",80.04,2736.7587940000003,"LCD (LED)","0.31",22.8,93,"Approved","Single product class","Available",6,6.552094678514144,"Internal","HISENSE",31.511811023622048,"32 inch"
"HISENSE","40A4NNZ","Australia,New Zealand","China",100.332,4261.906885,"LCD (LED)","0.28",29.07,121,"Approved","Single product class","Available",7,7.018348467224255,"Internal","HISENSE",39.5007874015748,"40 inch"
"HISENSE","40A4N","Australia,New Zealand","China",100.332,4261.906885,"LCD (LED)","0.28",29.07,121,"Approved","Single product class","Available",7,7.018348467224255,"Internal","HISENSE",39.5007874015748,"40 inch"
"HISENSE","100Q7NAU","Australia","China",252.784,27304.2576,"LCD (LED)","0.33",252.1,999,"Approved","Single product class","Available",5,5.313387441690587,"Internal","HISENSE",99.52125984251968,"70+ inch"
"HISENSE","75U8NAU","Australia","China",189.34,15318.517823999999,"LCD (LED)","0.31",177.17,720,"Approved","Single product class","Available",4,4.277735778003507,"Internal","HISENSE",74.54330708661418,"70+ inch"
"HISENSE","85U8NAU","Australia","China",214.783,19712.16,"LCD (LED)","0.31",262.49,1079,"Approved","Single product class","Available",3.5,3.5510390682319684,"Internal","HISENSE",84.56023622047243,"70+ inch"
"HISENSE","65UXAU","Australia","China",163.896,11478.122496000002,"LCD (LED)","0.38",137.97,569,"Approved","Single product class","Available",4,4.104182871102088,"Internal","HISENSE",64.5259842519685,"60 inch"
"Brooklyn","BM32WOSDVD","Australia,Fiji,New Zealand","China",80.039,2736.70931232,"LCD (LED)","0.36",33.5,125,"Approved","Single product class","Available",5,5.226810398773459,"Internal","BROOKLYN",31.511417322834646,"32 inch"
"Panasonic","TV-55W95AGZ","New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.33",72.6,296,"Approved","Single product class","Available",5.5,5.642740091361378,"Internal","PANASONIC",54.63897637795275,"50 inch"
"Panasonic","TV-65W95AGZ","New Zealand","China",163.897,11477.9975,"LCD (LED)","0.32",93.25,380,"Approved","Single product class","Available",5.5,5.913327322137348,"Internal","PANASONIC",64.52637795275591,"60 inch"
"SAMSUNG ELECTRONICS","UA43DUE800W","Australia,Fiji,New Zealand","Vietnam",107.987,4982.7128,"LCD (LED)","0.5",71,262,"Approved","Single product class","Available",4,4.164026395642909,"Internal","SAMSUNG ELECTRONICS",42.514566929133856,"40 inch"
"SAMSUNG ELECTRONICS","UA43DUE800S","Australia,Fiji,New Zealand","Vietnam",107.987,4982.7128,"LCD (LED)","0.5",71,262,"Approved","Single product class","Available",4,4.164026395642909,"Internal","SAMSUNG ELECTRONICS",42.514566929133856,"40 inch"
"SAMSUNG ELECTRONICS","UA43DUE800*","Australia,Fiji,New Zealand","Vietnam",107.987,4982.7128,"LCD (LED)","0.5",71,262,"Approved","Single product class","Available",4,4.164026395642909,"Internal","SAMSUNG ELECTRONICS",42.514566929133856,"40 inch"
"SAMSUNG ELECTRONICS","UA50DUE800W","Australia,Fiji,New Zealand","Vietnam",125.727,6754.5112,"LCD (LED)","0.5",83,306,"Approved","Single product class","Available",4.5,4.6844833952553016,"Internal","SAMSUNG ELECTRONICS",49.4988188976378,"48 inch"
"SAMSUNG ELECTRONICS","UA50DUE800S","Australia,Fiji,New Zealand","Vietnam",125.727,6754.5112,"LCD (LED)","0.5",83,306,"Approved","Single product class","Available",4.5,4.6844833952553016,"Internal","SAMSUNG ELECTRONICS",49.4988188976378,"48 inch"
"SAMSUNG ELECTRONICS","UA50DUE800*","Australia,Fiji,New Zealand","Vietnam",125.727,6754.5112,"LCD (LED)","0.5",83,306,"Approved","Single product class","Available",4.5,4.6844833952553016,"Internal","SAMSUNG ELECTRONICS",49.4988188976378,"48 inch"
"Panasonic","TV-75W95AGZ","New Zealand","China",189.321,15316.949999999999,"LCD (LED)","0.32",109.77,446,"Approved","Single product class","Available",6,6.423593808048994,"Internal","PANASONIC",74.53582677165355,"70+ inch"
"SAMSUNG ELECTRONICS","UA55DUE800W","Australia,Fiji,New Zealand","Vietnam",138.783,8230.118400000001,"LCD (LED)","0.5",97,357,"Approved","Single product class","Available",4.5,4.803028047916603,"Internal","SAMSUNG ELECTRONICS",54.63897637795275,"50 inch"
